feature,importance
emb_108,0.005861165
emb_278,0.005839641
emb_320,0.005806356
emb_273,0.005792714
emb_210,0.005791359
labs7d_lactate_count,0.005734469
vital48h_cvp_count,0.00571205
emb_184,0.0056982655
emb_362,0.0056694658
emb_303,0.005668184
emb_138,0.005658822
emb_98,0.0056470553
emb_218,0.00564237
emb_125,0.005628024
emb_19,0.0056158323
ins_UNKNOWN,0.0056150747
emb_222,0.005593815
labs7d_plt_std,0.005585325
emb_365,0.005574872
emb_137,0.0055598826
vital48h_temperature_std,0.0055438373
emb_147,0.0055431155
emb_317,0.0055276924
emb_378,0.0055219126
emb_65,0.0055199796
labs7d_lactate_max_missing,0.0055071986
emb_58,0.0054963385
labs7d_wbc_max_missing,0.0054897163
emb_187,0.005484958
emb_95,0.005477022
emb_301,0.0054684626
labs7d_ph_min,0.0054645
emb_208,0.005461781
emb_70,0.0054608504
labs7d_bun_max_missing,0.0054555535
vital48h_gcs_mean,0.0054433513
emb_325,0.0054257303
emb_205,0.0054249256
labs7d_wbc_count_missing,0.0054238103
labs7d_plt_std_missing,0.0054226434
emb_358,0.005407323
emb_63,0.0054043005
emb_247,0.0053840326
emb_92,0.005378766
labs7d_ph_count_missing,0.0053751017
emb_43,0.005364858
emb_88,0.0053514624
dem_mar_SINGLE,0.0053424523
labs7d_creatinine_std,0.005322388
emb_178,0.005311463
emb_29,0.0052914023
vital48h_resp_rate_max,0.0052894247
emb_176,0.0052860607
vital48h_sbp_std,0.005281736
labs7d_bicarbonate_max,0.0052781063
emb_100,0.005269426
emb_34,0.0052413093
emb_130,0.0052273236
emb_199,0.0052177175
emb_270,0.0051999236
emb_370,0.0051929518
vital48h_pap_mbp_min,0.0051673674
labs7d_lactate_std_missing,0.0051630945
vital48h_pap_sbp_mean,0.005146806
emb_349,0.0051463484
emb_340,0.005143938
labs7d_bun_std_missing,0.005126761
emb_363,0.0051259683
emb_27,0.0051195323
emb_18,0.005112071
emb_68,0.0051107835
emb_326,0.005103595
emb_224,0.0050935852
emb_314,0.005086471
emb_367,0.005076721
emb_240,0.005069456
emb_302,0.0050686165
labs7d_hgb_std,0.0050470475
emb_292,0.0050378
vital48h_pap_mbp_std,0.0050126766
emb_192,0.005002395
emb_72,0.005001775
emb_323,0.005001654
emb_170,0.004972578
labs7d_hgb_min_missing,0.0049708434
dem_sex_F,0.0049579404
labs7d_potassium_mean_missing,0.0049516987
labs7d_plt_min,0.0049426244
labs7d_albumin_min,0.004927531
labs7d_ph_min_missing,0.004903653
emb_122,0.004891916
emb_308,0.0048881266
emb_166,0.0048703523
cmb_obesity,0.004867494
vital48h_pap_dbp_std,0.004867054
emb_284,0.0048448485
emb_238,0.0048310137
vital48h_tidal_volume_last,0.004821239
emb_154,0.004810729
vital48h_resp_rate_std_missing,0.0047863424
emb_230,0.0047425404
emb_164,0.004739476
emb_287,0.004733247
emb_263,0.0047303154
labs7d_plt_count_missing,0.0047219177
emb_159,0.004711354
emb_277,0.004697934
emb_77,0.004687409
emb_106,0.0046843905
emb_251,0.004680484
labs7d_hgb_mean_missing,0.0046458766
emb_149,0.0046404786
emb_101,0.0046333554
emb_49,0.0046281135
emb_377,0.0046167346
emb_344,0.0046140132
emb_348,0.004612028
labs7d_sodium_count_missing,0.0046017775
emb_161,0.004571829
emb_5,0.0045700483
emb_193,0.004568471
emb_232,0.0045603286
dem_mar_UNK,0.004552357
emb_150,0.004541935
emb_81,0.0045393608
emb_220,0.0045393086
labs7d_sodium_min,0.004531905
emb_151,0.004529023
emb_165,0.0045227716
emb_42,0.004508887
emb_141,0.004479531
emb_179,0.0044726087
labs7d_ph_std_missing,0.0044350163
labs7d_lactate_count_missing,0.004424016
vital48h_cardiac_output_min,0.0044063013
emb_239,0.0043970915
emb_215,0.0043878895
emb_156,0.0043736435
emb_307,0.004369004
emb_331,0.004355942
vital48h_pap_pulse_pressure_mean,0.0043443264
dem_race_ASIAN,0.0043407567
emb_260,0.0043403455
emb_52,0.004320767
emb_39,0.004308011
emb_253,0.0043062535
emb_186,0.004290125
emb_103,0.0042856513
emb_291,0.004284843
emb_319,0.004279441
emb_54,0.004265289
emb_217,0.004248827
vital48h_cardiac_output_count,0.004244691
emb_71,0.004241897
labs7d_bicarbonate_count,0.004232341
emb_134,0.004231119
emb_36,0.0042245253
emb_33,0.0042148884
emb_310,0.004214449
emb_155,0.0042089685
emb_148,0.0042067687
emb_289,0.004201578
emb_78,0.004185972
emb_256,0.0041826605
vital48h_pap_dbp_count,0.004174611
labs7d_potassium_count_missing,0.0041700196
emb_174,0.0041611656
emb_117,0.00416021
emb_12,0.004131044
emb_234,0.004127287
emb_258,0.004123681
emb_107,0.0041168835
emb_57,0.004112131
emb_250,0.004102221
vital48h_pap_mbp_last,0.004099382
emb_274,0.004088186
emb_246,0.0040650195
emb_285,0.0040590037
labs7d_bicarbonate_last,0.004055862
emb_136,0.004043932
dem_race_HISPANIC,0.004041815
vital48h_sbp_min,0.004026469
emb_169,0.0040150434
cmb_copd,0.00400556
labs7d_potassium_min_missing,0.00399666
emb_50,0.0039965548
vital48h_temperature_count_missing,0.0039886488
emb_105,0.003977759
vital48h_dbp_value_mean,0.0039722375
emb_61,0.003964258
vital48h_cvp_std,0.003948912
emb_94,0.003941362
emb_83,0.0039327685
hx30d_diuretics_any,0.003926265
emb_296,0.0039242175
emb_20,0.0039237915
emb_85,0.003909887
labs7d_lactate_last,0.0039058328
dem_mar_DIVORCED,0.0039030456
labs7d_albumin_min_missing,0.0039028304
emb_1,0.0039000735
emb_197,0.003893799
emb_368,0.0038922995
emb_188,0.0038906657
emb_129,0.0038835204
emb_121,0.0038800263
labs7d_sodium_last_missing,0.0038761038
dem_race_UNK,0.0038750435
emb_332,0.0038727436
emb_11,0.0038677708
emb_209,0.0038359985
emb_350,0.0038286757
emb_167,0.0038025123
labs7d_wbc_count,0.0037989123
labs7d_lactate_min,0.0037783503
emb_180,0.0037735512
labs7d_ph_mean_missing,0.0037719172
vital48h_dbp_count,0.0037688327
labs7d_lactate_mean,0.0037672902
