feature,importance
vital48h_spo2_std_missing,0.0016549489
emb_27,0.0016495497
labs7d_potassium_mean_missing,0.0016470801
vital48h_resp_rate_mean_missing,0.0016395365
emb_117,0.0016356256
labs7d_plt_mean,0.0016355742
emb_366,0.0016154684
labs7d_potassium_std,0.001604075
vital48h_heart_rate_min,0.0015978549
emb_67,0.0015958479
emb_63,0.0015957586
emb_357,0.0015948921
vital48h_pap_sbp_count_missing,0.0015892289
emb_41,0.0015842078
vital48h_mbp_std_missing,0.0015823245
labs7d_creatinine_max,0.0015784386
vital48h_spo2_min_missing,0.0015615746
labs7d_creatinine_max_missing,0.0015604947
emb_144,0.0015563291
labs7d_bicarbonate_std,0.0015336719
emb_2,0.0015254624
emb_149,0.0015219898
vital48h_pap_sbp_max,0.0015097996
vital48h_pulse_pressure_mean,0.0015086441
emb_320,0.0014916885
emb_252,0.0014781618
labs7d_hgb_last_missing,0.0014741352
emb_128,0.0014671737
emb_148,0.0014580232
emb_28,0.0014530363
emb_347,0.0014448208
emb_163,0.0014399717
emb_272,0.0014356642
vital48h_pap_pulse_pressure_mean_missing,0.0014330227
vital48h_tidal_volume_last_missing,0.0014304073
dem_race_BLACK,0.0014197752
vital48h_spo2_mean,0.0014165427
emb_137,0.0014109693
emb_24,0.001407694
vital48h_minute_ventilation_last,0.001405276
vital48h_temperature_mean,0.001403634
labs7d_albumin_std_missing,0.0014012966
hx31to180d_colloid_bolus_any,0.0013932469
emb_311,0.001382094
vital48h_mbp_mean,0.0013790828
labs7d_ph_count,0.0013784096
labs7d_wbc_count_missing,0.0013771909
labs7d_wbc_mean,0.0013714853
labs7d_sodium_min,0.0013638804
vital48h_pap_mbp_last,0.0013629657
emb_113,0.0013625923
emb_245,0.0013598719
emb_350,0.0013575354
emb_88,0.0013559416
vital48h_pap_dbp_last_missing,0.0013502474
vital48h_pap_sbp_count,0.0013396215
vital48h_heart_rate_mean_missing,0.00133678
emb_361,0.00132389
vital48h_cardiac_output_mean,0.0013183925
vital48h_spo2_mean_missing,0.0013130578
emb_107,0.0013077551
vital48h_pap_mbp_min_missing,0.001301738
vital48h_cardiac_output_mean_missing,0.0013012827
emb_265,0.0012987164
emb_363,0.0012924427
hx30d_colloid_bolus_any,0.0012919653
emb_263,0.0012907663
emb_139,0.0012856191
emb_321,0.0012796059
emb_68,0.0012635684
vital48h_pap_pulse_pressure_mean,0.0012548285
labs7d_albumin_count,0.0012444105
vital48h_tidal_volume_std,0.0012431988
labs7d_wbc_mean_missing,0.0012209
emb_183,0.0012132004
emb_132,0.0012107133
vital48h_dbp_mean_missing,0.0012094356
labs7d_creatinine_std_missing,0.0012051337
emb_213,0.0012046143
emb_305,0.0012030494
hx30d_vasopressors_any,0.0012018118
emb_8,0.0011959156
labs7d_hgb_mean_missing,0.0011948906
vital48h_pap_sbp_std_missing,0.0011898496
emb_32,0.0011885923
vital48h_pap_sbp_max_missing,0.0011856486
vital48h_sbp_value_mean_missing,0.0011798147
labs7d_albumin_count_missing,0.0011778651
emb_216,0.0011699677
emb_134,0.0011678315
labs7d_hgb_min_missing,0.0011672531
dem_mar_SINGLE,0.0011672374
emb_223,0.0011558844
emb_275,0.0011533818
emb_306,0.0011533563
vital48h_mbp_count_missing,0.0011501148
emb_369,0.0011393452
vital48h_minute_ventilation_mean_missing,0.0011327607
emb_303,0.0011304899
emb_203,0.0011304866
emb_322,0.0011294025
vital48h_dbp_count_missing,0.0011287696
